Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
An optimal parallel algorithm for the maximal element problem,"C Rhee, Sudarshan K Dhall, S Lakshmivarahan",1990/1/1,,,,,"Given a set (p1, p2, …, pn) of n points in a plane, a point pi dominates another point pj iff X (pi) ≥ X(pj) and Y (pi) ≥ Y(pj) where X (p) and Y (p) denote the coordinates of a point p. Our problem is to find the points which are dominated by no other point. These points are called maximal elements. In this abstract we suggest an Ο (log n) parallel algorithm with Ο (n) processors in the EREW parallel model which is weaker than CREW. (Note that most parallel algorithms in the literature use the power of CREW PRAM model.) The main idea is to reduce the problem to the parallel prefix problem [2]. Our algorithm runs as follows: First, from P = {pl, …, pn}, find a subset P' = {p1 …, pm }, where each point pi is dominated by no other point having the same X -coordinate aspi. This can be done in Ο (log n) time with Ο (n) processors in the EREW model applying the parallel sort algorithm by [1]. Next sort P' according to the X …",1,"An optimal parallel algorithm for the maximal element problem
C Rhee, SK Dhall, S Lakshmivarahan - Proceedings of the 1990 ACM annual conference on …, 1990
Cited by 1 Related articles All 2 versions",{'2013': 1},435,Proceedings of the 1990 ACM annual conference on Cooperation,,,
DOMINATION IN PERMUTATION GRAPHS,"C RHEE, K DHALL, S LAKSHMIVARAHAN",1989,Proceedings,,27,,"In this paper, we present an O (n log n) algorithm for finding a minimum weight independent dominating set in a weighted permutation graph. The key idea is to reduce this problem to the shortest path problem in a weighted digraph.",0,"DOMINATION IN PERMUTATION GRAPHS
C RHEE, K DHALL, S LAKSHMIVARAHAN - Proceedings, 1989
Related articles",{},68,,,,
A new hierarchy of hypercube interconnection schemes for parallel computers,"S Lakshmivarahan, Sudarshan K Dhall",1988/9,The journal of Supercomputing,2,,Kluwer Academic Publishers,"This paper introduces a new hierarchy of cube-based interconnection schemes, called the base-b cube (which properly contains the well-known binary cube), for the design of parallel computers. This hierarchy admits a recursive definition and allows many more reconfigurations than are possible with the binary cube. Our analysis addresses the inherent cost-delay trade-off for this hierarchy along with a number of related topological properties such as sparsity, diameter, existence of node disjoint paths, and odd and even cycles. Embeddings of standard interconnection schemes including linear and two-dimensional arrays, rings, and complete binary trees in a base-b cube are illustrated.",68,"A new hierarchy of hypercube interconnection schemes for parallel computers
S Lakshmivarahan, SK Dhall - The journal of Supercomputing, 1988
Cited by 68 Related articles All 6 versions","{'2008': 1, '2009': 1, '2010': 5, '2011': 5, '2012': 4, '2013': 2, '2014': 6, '2015': 4, '2016': 7, '2017': 2, '2018': 6, '2019': 1, '2020': 2, '2021': 1, '2022': 1, '2023': 3}",81-108,,,,
PARALLEL PROCESSING. 2. SPECIAL ISSUE,,,,,,,,0,,{},,,,,
Generalized Gray codes and their properties,,,,,,,,0,,{},,,,,
Block Tridiagonal Systems on the Alliant FX/8,,,,,,,,0,,{},,,,,
PARALLEL PROCESSING. 1.,,,,,,,,0,,{},,,,,
Self-routing control algorithms and the passability of random inputs by the base-line network,,,,,,,,0,,{},,,,,
On a new class of optimal parallel prefix circuits with (size+ depth)= 2n− 2 and⌈ log n⌉≤ depth≤(2⌈ log n⌉− 3),,,,,,,,0,,{},,,,,
"ON THE COMPARISON OF THE PERFORMANCE: ALLIANT FX/8, VAX 11/780",,,,,,,,0,,{},,,,,
OF THE SELF-ROUTING CONTROL ALGORITHM,,,,,,,,0,,{},,,,,
Fault Tolerance Analysis of Rearrangeable Networks.,,,,,,,,0,,{},,,,,
Generalized Passability Condition and the Robustness of the Self-Routing Control Algorithm for the Base Line Network,,,,,,,,0,,{},,,,,
A new class of parallel algorithms for solving linear tridiagonal systems,,,,,,,,0,,{},,,,,
Experiences with the intel hypercube,,,,,,,,0,,{},,,,,
Effect of data organization in a system of interleaved memories on the performance of parallel search,,,,,,,,0,,{},,,,,
A New Hierarchy of Hypercube Interconnection Scheme for Parallel Computers: Theory and Applications,,,,,,,,0,,{},,,,,
New Parallel Algorithms for Solving First-Order and Certain Classes of Second-Order Linear Recurrences.,,,,,,,,0,,{},,,,,
"School of Electrical Engineering and Computer Science University of Oklahoma Norman, Oklahoma 73019",,,,,,,,0,,{},,,,,
Parallel algorithms for solving certain classes of linear recurrences,,,,,,,,0,,{},,,,,
Parallel sorting algorithms,,,,,,,,0,,{},,,,,
On the concealability of messages by the Williams public-key encryption scheme,,,,,,,,0,,{},,,,,
School of Electrical Engineering and Computer Science,,,,,,,,0,,{},,,,,
Algorithms for public key cryptosystems: theory and application,,,,,,,,0,,{},,,,,
Condition known to be sufficient for rearrangeability of the benes class of interconnection networks with 2* 2 switches is also necessary,,,,,,,,0,,{},,,,,
On a Class of Learning Algorithms with Symmetric Behavior under Success and Failure,,,,,,,,0,,{},,,,,
ε-optimality of a general class of learning algorithms,,,,,,,,0,,{},,,,,
Learning algorithms for two-person zero-sum stochastic games with incomplete information: A unified approach,,,,,,,,0,,{},,,,,
A new class of two stage parallel sorting schemes,,,,,,,,0,,{},,,,,
On a general class of absorbing-barrier learning algorithms,,,,,,,,0,,{},,,,,
Learning algorithms for two-person zero-sum stochastic games with incomplete information,,,,,,,,0,,{},,,,,
A LEARNING APPROACH TO THE TWO PERSON ZERO SUM SEQUENTIAL GAMES WITH INCOMPLETE AND IMPERFECT INFORMATION,,,,,,,,0,,{},,,,,
Two person decentralized team with incomplete information,,,,,,,,0,,{},,,,,
Control of a Markov Chain with Unknown Dynamics and Cost Structure,,,,,,,,0,,{},,,,,
Two Person Zero-Sum Sequential Stochastic Games with Imperfect and Incomplete Information—General Case,,,,,,,,0,,{},,,,,
Two Person Zero-Sum Sequential Stochastic Games with Imperfect and Incomplete Information—Game Matrix with Saddle Point in Pure Strategies,,,,,,,,0,,{},,,,,
Absolutely Expedient Algorithms,,,,,,,,0,,{},,,,,
Ergodic Learning Algorithms,,,,,,,,0,,{},,,,,
Two Person Decentralized Team Problem With Incomplete Information,,,,,,,,0,,{},,,,,
Time Varying Learning Algorithms,,,,,,,,0,,{},,,,,
Considerations for Fuzzifying Formal Languages and Synthesis of Fuzzy Grammars,,,,,,,,0,,{},,,,,
Numerical studies of stochastic approximation procedures for constrained problems,,,,,,,,0,,{},,,,,
Connectedness in fuzzy topology,,,,,,,,0,,{},,,,,
Analysis of memory depth in fixed structure learning automata,,,,,,,,0,,{},,,,,
"I, II Convergence and Rate of Convergence Theorems for Constrained and Unconstrained Stochastic Approximation, via Weak Convergence Methods. III Numerical Studies for …",,,,,,,,0,,{},,,,,
Absolute expediency of Q-and S-model learning algorithms,,,,,,,,0,,{},,,,,
Bounds on the convergence probabilities of learning automata,,,,,,,,0,,{},,,,,
Absolutely expedient learning algorithms for stochastic automata,,,,,,,,0,,{},,,,,
Bayesian learning and reinforcement schemes for stochastic automata,,,,,,,,0,,{},,,,,
Optimal non-linear reinforcement schemes for stochastic automata,,,,,,,,0,,{},,,,,
Pattern Classification Using Stochastic Approximation Techniques,,,,,,,,0,,{},,,,,
AN O (N.--M)-TIME ALGORITIIM FOR FINDING A,,,,,,,,0,,{},,,,,
Author's Affiliations,,,,,,,,0,,{},,,,,
The Prefix Problem And Its Applications,,,,,,,,0,,{},,,,,
IV. Detailed Course Contents,,,,,,,,0,,{},,,,,
Parallel Prefix AlgorithmsOn Linked Lists,,,,,,,,0,,{},,,,,
Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Parallel Machines And Models—An Overview This,,,,,,,,0,,{},,,,,
Cayley Graphs,,,,,,,,0,,{},,,,,
Size vs. Depth Trade-Off In Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Applying a Random Projection Algorithm to Generate Optimal Feature Vector and Improve Performance of Machine Learning Model for Breast Lesion Classification,,,,,,,,0,,{},,,,,
Constant Depth Prefix Circuits With Unbounded Fan-In,,,,,,,,0,,{},,,,,
Bounding Fan-Out In Parallel Prefix Circuits,,,,,,,,0,,{},,,,,
Parallel Prefix Algorithms On Arrays,,,,,,,,0,,{},,,,,
The Complex Structure of Yields with both Default and Call Risk,,,,,,,,0,,{},,,,,
Dynamic Data Assimilation: an introduction-Video course,,,,,,,,0,,{},,,,,
e-Optimality of a General Class of Learning Algorithms,,,,,,,,0,,{},,,,,
MPI: Message Passing Interface An Introduction,,,,,,,,0,,{},,,,,
CALL FOR PAPERS FOR SPECIAL ISSUE ON PARALLEL PROCESSING,,,,,,,,0,,{},,,,,
The Impact of Predictability on Empirical Estimates of Municipal Bond Price Volatility and Sensitivity of Price Volatility to Level of Yields,,,,,,,,0,,{},,,,,
CONVERGENCE OF A CLASS OF THE WEAK SOLUTIONS TO THE STRONG SOLUTION OF A LINEAR EQUALITY CONTRAINTED QUADRATIC MINIMIZATION PROBLEM: A DIRECT PROOF USING MATRIX IDENTITIES,,,,,,,,0,,{},,,,,
Project CRAFT: Technical Aspects of a Real Time Delivery System for NEXRAD Level II Data via the Internet,,,,,,,,0,,{},,,,,
Sources of Systematic Error in Dynamical Prediction: A Framework,,,,,,,,0,,{},,,,,
Performance Evaluation of Parallel Systems: An Overview,,,,,,,,0,,{},,,,,
A NEW CLASS OF SYMMETRIC NETWORKS BASED ON THE CAYLEY GRAPHS OF THE ALTERNATING GROUP,,,,,,,,0,,{},,,,,
"Author Itnkx to VoIumes 41, 42, and 43 229",,,,,,,,0,,{},,,,,
7B. 3 DEVELOPMENT OF AN “EVENTS-ORIENTED” APPROACH TO FORECAST VERIFICATION,,,,,,,,0,,{},,,,,
ON A CLASS OF LEARNII~ G ALGORITH~ lS WITH SY~ lMETRIC BEHAVIOR UNDER,,,,,,,,0,,{},,,,,
Correcting Model Forecast Errors Using Sensitivity Functions,,,,,,,,0,,{},,,,,
4.6 DEVELOPMENT OF AN EVENTS-ORIENTED VERIFICATION SYSTEM USING DATA MINING AND IMAGE PROCESSING ALGORITHMS,,,,,,,,0,,{},,,,,
Session 1A: Interconnection Networks (I),,,,,,,,0,,{},,,,,
Identification of Sources of Systematic Error in Dynamical Prediction: A Framework,,,,,,,,0,,{},,,,,
8.3 VERIFICATION OF MESOSCALE FEATURES IN NWP MODELS,,,,,,,,0,,{},,,,,
